gate_id,epoch_time,trial_id
entrance,1743494209.598125,5
right,1743494209.7520707,5
entrance,1743494209.8975496,5
entrance,1743494220.3347917,5
left,1743494251.9449494,5
left,1743494252.1730375,5
left,1743494254.9647136,5
left,1743494527.6891136,5
left,1743494642.2674189,5
left,1743494694.0390828,5
left,1743494712.9898775,5
left,1743494722.9952247,5
left,1743494725.2846413,5
left,1743495384.451531,5
left,1743495388.579918,5
left,1743495770.2151792,5
left,1743495981.6045208,5
left,1743495981.6238563,5
left,1743495982.5349245,5
left,1743496016.6570635,5
left,1743497397.4506419,2
left,1743497398.2956188,2
left,1743497398.311863,2
left,1743497614.955271,2
left,1743497854.7701347,2
left,1743497935.1162095,2
left,1743498195.0477996,2
left,1743498224.8376286,2
left,1743498472.7386997,4
right,1743498505.7233946,4
right,1743498516.826204,4
right,1743498516.8505545,4
right,1743498517.3699138,4
right,1743498517.4074411,4
right,1743498517.4291134,4
left,1743498530.2774549,4
left,1743498530.3079479,4
left,1743498544.505383,4
entrance,1743498544.7292733,4
left,1743498545.2037745,4
left,1743498545.2266302,4
right,1743498570.8371644,4
right,1743498571.000281,4
right,1743498571.0275238,4
right,1743498649.1117575,4
left,1743498660.5107112,4
left,1743498660.5401871,4
right,1743498772.3595529,4
entrance,1743498773.616423,4
right,1743499110.2498279,3
right,1743499110.4081228,3
right,1743499127.9708848,3
right,1743499129.3079417,3
left,1743499137.98734,3
right,1743499165.4386537,3
right,1743499165.7920215,3
left,1743499173.3827627,3
left,1743499174.5687053,3
entrance,1743499287.6619902,3
left,1743499288.0427845,3
left,1743499288.0661452,3
entrance,1743499294.5858595,3
left,1743499296.6693094,3
entrance,1743499513.1337824,3
entrance,1743499552.1203794,3
entrance,1743499552.145201,3
left,1743499552.2706213,3
left,1743499552.2879715,3
left,1743499607.1092188,3
right,1743499615.0319455,3
left,1743499617.497572,3
right,1743499620.3167887,3
right,1743499620.3275812,3
right,1743499620.5285606,3
right,1743499620.8157485,3
right,1743499620.8434987,3
right,1743499621.06016,3
right,1743499621.0822313,3
left,1743499778.199989,3
entrance,1743499778.8769064,3
left,1743499795.8836086,4
entrance,1743499796.383148,4
right,1743499803.8765097,3
right,1743499806.568748,3
right,1743499813.2961597,3
entrance,1743499814.0373013,3
entrance,1743499847.4659538,4
entrance,1743499847.4804356,4
entrance,1743499847.5370715,4
left,1743499847.6831293,4
entrance,1743499994.149421,4
right,1743517124.1291463,8
entrance,1743517126.1342244,8
entrance,1743517126.7102551,8
entrance,1743517126.7430663,8
left,1743517167.6563077,8
right,1743517168.3884542,8
right,1743517168.4094715,8
entrance,1743517168.452763,8
entrance,1743517168.557745,8
entrance,1743517168.5881472,8
entrance,1743517168.6823845,8
left,1743517168.8802273,8
entrance,1743517266.2556648,7
left,1743517266.4195256,7
left,1743517266.452527,7
entrance,1743517269.9855952,7
entrance,1743517270.001433,7
entrance,1743517270.0636885,7
left,1743517270.1844926,7
left,1743517270.2186785,8
left,1743517359.4691315,8
entrance,1743517360.3764448,8
entrance,1743517360.4070964,8
right,1743518879.8858895,8
entrance,1743518880.029997,8
entrance,1743518880.0570335,7
left,1743519633.0611928,7
left,1743519633.1251452,7
entrance,1743519633.2115192,7
entrance,1743519633.3172007,7
